round,node,delay_ms,timed_out,polls
1,node2,1.514500,false,1
1,node3,1.490800,false,1
1,node4,1.657400,false,1
1,node5,1.467100,false,1
2,node2,1.299200,false,1
2,node3,1.295000,false,1
2,node4,1.117500,false,1
2,node5,1.096600,false,1
3,node2,1.257400,false,1
3,node3,1.295200,false,1
3,node4,1.288500,false,1
3,node5,1.330600,false,1
4,node2,1.124800,false,1
4,node3,1.090000,false,1
4,node4,1.070800,false,1
4,node5,1.442400,false,2
5,node2,1.546500,false,1
5,node3,1.380700,false,1
5,node4,1.386400,false,1
5,node5,2.143300,false,2
6,node2,1.356100,false,1
6,node3,1.610300,false,1
6,node4,1.332400,false,1
6,node5,1.332000,false,1
7,node2,1.502400,false,1
7,node3,1.502400,false,1
7,node4,1.505300,false,1
7,node5,1.465600,false,1
8,node2,2.459700,false,1
8,node3,2.678100,false,1
8,node4,2.763400,false,1
8,node5,2.773600,false,1
9,node2,2.097500,false,1
9,node3,2.128600,false,1
9,node4,2.097500,false,1
9,node5,2.128500,false,1
10,node2,1.057800,false,1
10,node3,1.057800,false,1
10,node4,1.014600,false,1
10,node5,1.127800,false,1
11,node2,1.124800,false,1
11,node3,1.105700,false,1
11,node4,1.176300,false,1
11,node5,1.409600,false,2
12,node2,1.112200,false,1
12,node3,1.191100,false,1
12,node4,1.177600,false,1
12,node5,1.604300,false,2
13,node2,1.104700,false,1
13,node3,1.117600,false,1
13,node4,1.304000,false,1
13,node5,1.365400,false,2
14,node2,1.387200,false,1
14,node3,1.134100,false,1
14,node4,1.428600,false,1
14,node5,2.058400,false,2
15,node2,1.368200,false,1
15,node3,1.367400,false,1
15,node4,1.381700,false,1
15,node5,1.365900,false,1
16,node2,1.453900,false,1
16,node3,1.366200,false,1
16,node4,1.366400,false,1
16,node5,1.366400,false,1
17,node2,1.060900,false,1
17,node3,1.060900,false,1
17,node4,1.088800,false,1
17,node5,1.183700,false,1
18,node2,1.351600,false,1
18,node3,1.281700,false,1
18,node4,1.446500,false,1
18,node5,1.358700,false,1
19,node2,1.245000,false,1
19,node3,1.228000,false,1
19,node4,1.233700,false,1
19,node5,1.461000,false,2
20,node2,1.232600,false,1
20,node3,1.060700,false,1
20,node4,1.218500,false,1
20,node5,1.506800,false,2
21,node2,1.185600,false,1
21,node3,1.199600,false,1
21,node4,1.187000,false,1
21,node5,1.567600,false,2
22,node2,1.196400,false,1
22,node3,1.251500,false,1
22,node4,1.338300,false,1
22,node5,1.196400,false,1
23,node2,1.418800,false,1
23,node3,1.433800,false,1
23,node4,1.424800,false,1
23,node5,1.683500,false,1
24,node2,1.620800,false,1
24,node3,1.518900,false,1
24,node4,1.717900,false,1
24,node5,1.669100,false,1
25,node2,2.880400,false,1
25,node3,2.844400,false,1
25,node4,3.018600,false,1
25,node5,2.832600,false,1
26,node2,2.876200,false,1
26,node3,2.876000,false,1
26,node4,2.990100,false,1
26,node5,2.876000,false,1
27,node2,2.010800,false,1
27,node3,1.890900,false,1
27,node4,2.017400,false,1
27,node5,1.890900,false,1
28,node2,2.043300,false,1
28,node3,2.043400,false,1
28,node4,2.043400,false,1
28,node5,2.043400,false,1
29,node2,1.569600,false,1
29,node3,1.601700,false,1
29,node4,1.676000,false,1
29,node5,1.569100,false,1
30,node2,1.256800,false,1
30,node3,1.199600,false,1
30,node4,1.230800,false,1
30,node5,1.638100,false,2
31,node2,1.329700,false,1
31,node3,1.262500,false,1
31,node4,1.316700,false,1
31,node5,1.267300,false,1
32,node2,1.527000,false,1
32,node3,1.314600,false,1
32,node4,1.328100,false,1
32,node5,1.731200,false,2
33,node2,1.436600,false,1
33,node3,1.472400,false,1
33,node4,1.306100,false,1
33,node5,1.727300,false,2
34,node2,1.474500,false,1
34,node3,1.387800,false,1
34,node4,1.209300,false,1
34,node5,1.746900,false,2
35,node2,1.490700,false,1
35,node3,1.317600,false,1
35,node4,1.284900,false,1
35,node5,1.701500,false,2
36,node2,1.192000,false,1
36,node3,1.475400,false,1
36,node4,1.350500,false,1
36,node5,1.675000,false,2
37,node2,1.438400,false,1
37,node3,1.419400,false,1
37,node4,1.384000,false,1
37,node5,1.453600,false,1
38,node2,1.416200,false,1
38,node3,1.235400,false,1
38,node4,1.233200,false,1
38,node5,1.738200,false,2
39,node2,1.206900,false,1
39,node3,1.206900,false,1
39,node4,1.297800,false,1
39,node5,1.540900,false,2
40,node2,1.486300,false,1
40,node3,1.567600,false,1
40,node4,1.546600,false,1
40,node5,1.486300,false,1
